service_id,vehicle_age_years,service_type,repair_cost_inr,service_duration_hours,mileage_km,repeat_visit
VS00050,9,Brake,12545,2.4,207974,No
VS00051,16,Electrical,7930,2.1,162972,No
VS00052,0,Routine,6150,1.9,72436,No
VS00053,12,Routine,10871,2.1,118535,No
VS00054,16,AC,25244,6.4,120558,Yes
VS00055,14,Routine,14024,5.3,18648,Yes
VS00056,6,Engine,18014,6.5,106066,No
VS00057,2,Brake,9221,2.9,67868,Yes
VS00058,13,Brake,9988,4.7,148048,No
VS00059,10,AC,20723,6.7,217276,Yes
VS00060,2,Electrical,6751,3.9,96310,No
VS00061,10,Routine,13821,4.7,111947,No
VS00062,12,Brake,14223,3.8,163000,Yes
VS00063,7,Engine,17505,6.8,103315,No
VS00064,7,Engine,11911,5.5,167969,No
VS00065,18,Routine,15870,4.4,164698,Yes
VS00066,10,AC,12455,3.6,202075,No
VS00067,15,AC,18691,5.8,173809,Yes
VS00068,15,Brake,15503,5.9,163296,Yes
VS00069,13,Brake,18811,4.5,55871,No
VS00070,1,Routine,1602,1.2,30055,No
VS00071,4,AC,13241,3.7,157282,No
VS00072,5,AC,,5.1,68807,No
VS00073,16,Electrical,16873,5.3,133176,Yes
VS00074,2,Engine,19777,6.0,69428,No
VS00075,2,Engine,10299,3.5,170405,No
VS00076,17,Routine,15286,4.3,216035,No
VS00077,13,Engine,19501,6.7,197295,No
VS00078,3,Engine,16744,5.8,28948,No
VS00079,8,AC,9124,4.8,86499,No
VS00080,17,Electrical,17002,5.1,216325,No
VS00081,17,Electrical,12680,4.9,135576,Yes
VS00082,18,AC,13571,4.8,196823,No
VS00083,1,Brake,7578,3.3,202201,No
VS00084,7,Routine,8468,2.1,127864,Yes
VS00085,3,Routine,10694,2.8,202694,No
VS00086,14,Electrical,19592,4.6,165011,No
VS00087,14,Electrical,13813,5.9,81161,Yes
VS00088,3,Routine,11608,3.4,75231,No
VS00089,4,Routine,4389,1.2,114930,No
VS00090,,Brake,10970,3.9,177779,No
VS00091,6,AC,6713,4.2,213853,Yes
VS00092,10,Engine,14214,5.6,59128,No
VS00093,9,Engine,13174,5.6,13671,No
VS00094,4,Routine,11835,3.4,218641,No
VS00095,11,Engine,16670,5.1,77069,No
VS00096,3,Electrical,9052,4.7,143694,Yes
VS00097,14,Electrical,21987,6.9,129323,Yes
VS00098,17,Electrical,13931,4.9,109284,No
VS00099,15,Brake,20596,5.5,99659,Yes
VS00100,18,Electrical,11438,4.2,123235,Yes
VS00101,18,Engine,14912,5.4,215341,Yes
VS00102,7,Brake,16552,4.7,153277,No
VS00103,14,Brake,11679,3.2,151243,No
VS00104,2,Engine,20237,7.2,210847,No
VS00105,3,Electrical,9769,2.5,48641,No
VS00106,11,Engine,14600,5.5,72959,Yes
VS00107,6,AC,12077,4.2,35392,No
VS00108,6,Electrical,14909,5.0,36191,No
VS00109,2,Routine,11738,3.4,199285,No
VS00110,11,Electrical,15092,5.4,169891,
VS00111,2,Electrical,4493,2.0,63186,Yes
VS00112,4,Brake,12014,2.3,84460,No
VS00113,11,Brake,13534,5.0,61759,No
VS00114,6,AC,10721,2.4,192583,Yes
VS00115,17,Routine,16093,4.2,67458,Yes
VS00116,2,Brake,10491,4.9,198439,No
VS00117,16,Brake,18795,5.5,122315,Yes
VS00118,5,Electrical,10513,3.5,154338,No
VS00119,3,AC,10424,4.6,109802,No
VS00120,10,Electrical,12849,4.9,84443,Yes
VS00031,9,Routine,10037,3.8,63480,Yes
VS00098,17,Electrical,13931,4.9,109284,No
VS00117,16,Brake,18795,5.5,122315,Yes
